timestamp,heart_rate,spo2,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,latitude,longitude,speed,activity,tamper,sos,scenario
2026-01-01 07:00:00,67.5,99.06,0.038,0.172,0.047,-0.991,2.597,-1.034,12.950167,77.58324,0.146,resting,0,0,normal_rest
2026-01-01 07:00:12,73.24,97.91,-0.038,0.156,0.042,-1.084,3.593,0.536,12.949439,77.583518,0.0,resting,0,0,normal_rest
2026-01-01 07:00:24,71.93,98.31,-0.051,0.067,0.051,0.449,3.589,0.705,12.949822,77.583449,0.0,resting,0,0,normal_rest
2026-01-01 07:00:36,65.27,99.03,0.079,0.152,0.039,-0.791,2.071,-0.165,12.949874,77.584083,0.0,resting,0,0,normal_rest
2026-01-01 07:00:48,70.92,98.88,0.05,0.113,0.003,-0.3,2.155,1.357,12.949523,77.583572,0.0,resting,0,0,normal_rest
2026-01-01 07:01:00,63.06,98.9,0.113,0.16,0.03,0.938,3.631,1.101,12.949639,77.584366,0.267,resting,0,0,normal_rest
2026-01-01 07:01:12,66.58,99.08,-0.005,0.213,0.073,0.146,3.117,0.359,12.949715,77.583251,0.29,resting,0,0,normal_rest
2026-01-01 07:01:24,65.45,97.92,0.062,0.202,0.021,0.012,3.975,0.703,12.949765,77.583594,0.041,resting,0,0,normal_rest
2026-01-01 07:01:36,72.88,99.21,0.101,0.114,-0.015,0.495,3.936,0.838,12.949563,77.583275,0.491,resting,0,0,normal_rest
2026-01-01 07:01:48,66.39,98.09,0.023,0.15,-0.005,0.713,2.485,1.861,12.949474,77.584353,0.0,resting,0,0,normal_rest
2026-01-01 07:02:00,65.18,98.5,0.133,0.188,0.022,1.292,2.844,0.186,12.950518,77.583621,0.12,resting,0,0,normal_rest
2026-01-01 07:02:12,62.41,99.21,-0.005,0.194,0.095,1.841,2.011,0.06,12.950408,77.584048,0.101,resting,0,0,normal_rest
2026-01-01 07:02:24,72.46,98.97,0.009,0.16,0.086,0.237,2.393,1.223,12.950534,77.584714,0.062,resting,0,0,normal_rest
2026-01-01 07:02:36,77.09,97.24,0.035,0.075,0.117,1.57,2.238,1.229,12.949995,77.583538,0.021,resting,0,0,normal_rest
2026-01-01 07:02:48,64.85,99.41,0.045,0.053,0.01,1.603,1.632,2.155,12.949639,77.583559,0.149,resting,0,0,normal_rest
